date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
7/31/2017,2406864986,183998,0,294.46,1075960,1837.5,138.1168222
8/1/2017,906913244.4,230867,0,380.01,65988800,1812.5,194.8688662
8/2/2017,603435292.7,76537,6302360000,452.66,416207000,1112.5,51.70601851
8/3/2017,83677447.17,7416,7392030000,364.05,161518000,87.5,6.28890264
8/4/2017,218502199.9,20909,5969720000,233.05,185038000,437.5,20.23473119
8/5/2017,263414318,26517,3809330000,213.15,144043000,237.5,21.32449804
8/6/2017,221197596.4,15194,3497290000,220.66,107606000,162.5,11.22425776
8/7/2017,288488537.7,11791,3688360000,319.69,346546000,812.5,9.15282496
8/8/2017,436608260.2,16114,5297390000,345.49,274880000,975,8.6803523
8/9/2017,295120546.5,12855,5691960000,303.89,165032000,287.5,8.44009814
8/10/2017,151749604.3,10798,5031790000,275.95,136637000,1187.5,5.51291228
8/11/2017,145505519.2,9949,4548600000,328.24,233971000,1250,5.30796253
8/12/2017,218294169.3,10507,5405200000,317.09,126007000,837.5,4.78128428
8/13/2017,224223083.8,7543,5215330000,298.05,120722000,900,4.60345208
8/14/2017,84058082.26,7814,4882720000,297.68,174968000,975,4.83887706
8/15/2017,143090103.9,9833,4917480000,297.86,133924000,1137.5,5.78545113
8/16/2017,146063106.3,7696,4914350000,300.21,106436000,1400,4.87569032
8/17/2017,155064460.4,135552,4964980000,460.53,744605000,1050,4.35333251
8/18/2017,620925663.3,10813,7565590000,690.24,3087490000,812.5,8.46124586
8/19/2017,1145249830,22796,11498100000,754.56,3196230000,812.5,8.81946855
8/20/2017,869773927.2,27728,12742600000,712.87,1494020000,1637.5,11.99113257
8/21/2017,369931479.8,19530,11943100000,599.63,1123400000,5800,8.876545
8/22/2017,314146151.3,16436,9844620000,690.88,1393260000,9550,7.12165057
8/23/2017,530060642.7,15033,11416800000,669.4,501983000,10687.5,6.34074654
8/24/2017,313592116.7,9684,11071100000,628.11,407177000,275,4.19772886
8/25/2017,715900617.3,13311,10365600000,641.05,348632000,7112.5,7.21468871
8/26/2017,374565964.6,10916,10616100000,625.32,193414000,8600,5.53354222
8/27/2017,258048021,8233,10357000000,620.9,402718000,8450,3.66496469
8/28/2017,264077402.9,6328,10254800000,596.18,216273000,537.5,2.93697368
8/29/2017,194831687,10161,9866110000,552.93,370017000,2175,4.39485369
8/30/2017,566130755.1,12858,9092300000,575.21,443856000,1775,5.11311822
8/31/2017,816950321.5,15867,9538750000,588.17,298144000,1075,3.97986965
9/1/2017,214751289.9,13568,9740460000,622.17,393839000,1075,4.39237606
9/2/2017,216897372.2,10362,10297000000,575.9,350478000,1450,3.7594561
9/3/2017,206019674.8,7858,9574520000,607.43,344862000,1675,2.77770443
9/4/2017,196873239.7,7515,10072200000,517.24,328957000,1637.5,2.50160359
9/5/2017,340807287.6,7599,8527100000,541.71,338978000,1612.5,4.31505577
9/6/2017,379232459.9,7328,8964700000,638.18,693240000,1400,2.36431426
9/7/2017,462227428.8,8578,10548500000,652.86,1082380000,1750,2.3711804
9/8/2017,226936880.9,8677,10840500000,583.1,809763000,2587.5,2.36196092
9/9/2017,209589827.9,7552,9688150000,547.47,234578000,2350,1.71427559
9/10/2017,451925322.5,6257,9055430000,537.07,289508000,1975,1.52744926
9/11/2017,195283824.4,5430,8902570000,537.81,274712000,1937.5,1.16558703
9/12/2017,395277277.2,7256,8934220000,510.41,273825000,2175,1.20747464
9/13/2017,251594265.7,5993,8445540000,503.61,340344000,2412.5,1.31772647
9/14/2017,103575085.2,6356,8359650000,367.04,257431000,2150,1.31399
9/15/2017,217940706.5,7296,6126800000,424.02,707231000,2325,2.22638457
9/16/2017,324213227.3,8634,7039590000,440.22,313583000,2125,2.0176211
9/17/2017,221998312.3,7809,7279520000,419.86,221828000,2137.5,1.84246263
9/18/2017,156968406,5027,7001640000,479.32,458550000,2212.5,0.73514599
9/19/2017,509073211.1,8675,7975010000,527.88,802321000,4462.5,1.34094764
9/20/2017,665656702.7,9520,8741670000,476.05,669264000,3325,1.42698773
9/21/2017,209092139.8,8099,7898300000,416.26,316731000,3100,1.38372935
9/22/2017,201205393.2,5859,6937170000,415.09,241905000,425,1.15108873
9/23/2017,504416347.2,6746,6895970000,428.5,189127000,5125,1.28153827
9/24/2017,177280205.1,5601,7121950000,421.03,114527000,4400,0.88750027
