date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2/14/2014,150641.4191,3421,702537,0.374024,15422,33849,3.35501
2/15/2014,78256.18122,3663,1092120,0.314865,21119,33235,3.73903516
2/16/2014,96549.98834,3236,1085280,0.406976,28017,30944,5.23855816
2/17/2014,367922.1777,2766,1360260,1.45,178618,20713,2.47301
2/18/2014,838488.3008,2631,3960320,1.04,160779,15940,2.82708248
2/19/2014,675559.3781,2551,3497850,0.941647,60551,13548,2.3635103
2/20/2014,203533.1471,2354,3196180,1.06,93281,13647,2.01676346
2/21/2014,307460.8789,2058,3590320,1.13,83008,13649,1.96045798
2/22/2014,138111.4739,2086,3833460,1.24,101024,13145,1.7273869
2/23/2014,386608.8677,2308,3945250,1.15,115234,12638,1.72937083
2/24/2014,312423.7327,2275,4082000,0.841903,109256,12845,1.84767328
2/25/2014,558145.3712,2327,2902860,0.527474,69493,12904,3.35293013
2/26/2014,569346.177,2203,2153440,0.619451,49321,12683,1.7752096
2/27/2014,696490.2665,1991,2148350,0.61939,15148,12851,2.51096324
2/28/2014,315790.3356,1748,2163860,0.550661,60517,13735,2.10231798
3/1/2014,307231.9591,1697,1929800,0.937342,252311,13530,1.51229179
3/2/2014,757375.2417,2202,3298980,1.03,148259,13223,2.61194146
3/3/2014,1423892.726,2373,3651050,1.21,271197,12131,2.72228333
3/4/2014,302309.7749,2641,4283970,0.987557,90550,12409,2.97333854
3/5/2014,257879.4199,2250,3515760,1.03,93138,12457,3.05792366
3/6/2014,694766.1965,2319,3692890,1.05,68896,11960,2.50435306
3/7/2014,568353.9524,2342,3787000,0.877912,112877,12374,2.78243028
3/8/2014,563057.6451,2192,3285680,0.914905,70281,12112,3.35926835
3/9/2014,210736.1228,2169,3296790,0.872964,48781,12289,2.22247301
3/10/2014,68651.21059,2155,3159030,0.810256,45946,12138,2.21135685
3/11/2014,221282.132,1964,2934810,0.8913,42234,11735,1.82931886
3/12/2014,223717.6929,2194,3238290,0.865936,39530,11890,2.22846024
3/13/2014,81770.66147,2117,3166030,0.833336,31123,11872,2.31378429
3/14/2014,95555.54427,2135,3057150,0.811341,26274,12427,2.05663358
