date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
8/7/2015,0,0,0,2.77,164329,27075.46875,0
8/8/2015,1513208.908,2016,167911000,0.753325,674188,27437.65625,37.31841351
8/9/2015,1180418.473,2807,42637600,0.701897,532170,27943.4375,68.09997007
8/10/2015,825663.0344,1298,43130000,0.708448,405283,27178.28125,14.0989497
8/11/2015,1787873.591,1999,42796500,1.07,1463100,27817.34375,31.16514444
8/12/2015,1812411.91,4945,64018400,1.22,2150620,28027.8125,11.31144859
8/13/2015,1367895.169,1993,73935400,1.83,4068680,27370.9375,32.5869924
8/14/2015,3271767.978,2807,109594000,1.83,4637030,28268.125,24.92916911
8/15/2015,3879308.861,3144,109160000,1.69,2554360,31106.71875,14.35483411
8/16/2015,7271112.035,2264,102028000,1.57,3550790,28512.65625,8.836593028
8/17/2015,2050304.084,2422,95819700,1.2,1942830,27094.53125,6.677237925
8/18/2015,2446787.871,2503,88143200,1.09,1485680,28118.90625,7.64281184
8/19/2015,1951385.833,2485,84663900,1.26,1486240,26162.8125,11.90607134
8/20/2015,1678378.93,3224,90809000,1.46,2843760,27282.03125,15.43095067
8/21/2015,584281.3846,2266,107266000,1.4,2020970,21057.03125,6.855566943
8/22/2015,809852.0289,3888,101404000,1.38,948310,26690.9375,7.855041725
8/23/2015,667667.1444,3562,99894500,1.35,1589300,27550.46875,42.54717183
8/24/2015,612336.8874,4126,97791600,1.23,924920,26255.625,8.049767673
8/25/2015,526887.0961,4423,89321900,1.14,1307180,27333.28125,8.87628542
8/26/2015,471487.9861,4449,82384400,1.16,1056750,26736.09375,8.259755825
8/27/2015,505295.6094,4112,85106100,1.15,686662,26137.96875,7.447729279
8/28/2015,324602.4641,5568,83521700,1.19,721872,24532.8125,8.670963043
8/29/2015,354533.5118,4723,86887600,1.18,375377,24225.15625,9.925148371
8/30/2015,568054.1536,4109,86145900,1.32,1337650,22525,5.507451526
8/31/2015,565647.2553,4547,96251000,1.36,1447180,21453.59375,5.634173742
9/1/2015,519546.4515,5165,98617200,1.35,778862,21293.4375,7.424533814
9/2/2015,1831565.186,5114,98504600,1.29,883769,20339.21875,7.843769856
9/3/2015,349670.171,5160,94418700,1.26,702991,18391.09375,8.153735331
9/4/2015,707105.0828,4738,92234100,1.27,474391,17380.9375,6.970025674
9/5/2015,236575.1851,5601,93402300,1.34,448453,23081.875,9.733856361
9/6/2015,217718.6349,5471,97625500,1.3,491968,25629.0625,9.141228324
9/7/2015,370293.1324,5489,94585300,1.25,489014,26168.28125,8.055487735
9/8/2015,251127.5663,5626,91020700,1.24,427892,25460.46875,9.256422396
9/9/2015,319059.4036,5604,90518300,1.21,366748,25888.75,10.3799263
9/10/2015,1340630.51,5577,88230500,1.17,662782,26431.40625,9.840601069
9/11/2015,202492.4564,5328,85144300,0.982978,1942600,26444.21875,7.925807171
9/12/2015,755498.4954,6439,72179000,1.04,772430,27238.59375,8.876728153
9/13/2015,203706.1619,5555,76193600,0.936003,644138,26402.34375,11.35483319
9/14/2015,196109.5829,6017,68814400,0.875622,741085,26171.40625,9.578725674
9/15/2015,252560.0845,5542,64052400,0.94441,703390,25588.125,9.901548419
9/16/2015,547423.2894,5390,68963300,0.907175,615593,25615.3125,8.426997145
9/17/2015,484563.3874,5846,66415200,0.874231,897940,26318.125,15.14661708
9/18/2015,252465.0937,5343,64071300,0.853685,484622,25435.625,8.556523791
9/19/2015,359844.3106,5733,62262700,0.882391,386988,25894.21875,11.83482107
9/20/2015,366689.8293,5154,64600000,0.938445,508314,27187.1875,7.982204373
9/21/2015,120920.377,6341,69045900,0.919047,424039,27982.65625,10.96964547
9/22/2015,142222.6916,6244,67444200,0.901796,487914,26651.875,10.18074194
9/23/2015,173889.9471,6759,66309600,0.893406,200541,26370.3125,11.40414518
9/24/2015,106670.8958,7369,65836400,0.81361,842505,27080.3125,10.7002671
9/25/2015,225813.2788,6185,60221400,0.736223,903457,26385.78125,10.31950627
9/26/2015,520398.5108,5801,54188900,0.785964,369620,27003.4375,9.836594916
9/27/2015,181178.1805,5903,58149600,0.720839,413801,25910.3125,9.289146479
9/28/2015,223189.1292,5732,53201800,0.582886,1320890,25011.09375,8.42387045
9/29/2015,471898.7898,6102,42607700,0.661146,913992,24714.21875,9.272346609
9/30/2015,298572.1156,5715,48636600,0.738644,619926,24364.6875,8.877328421
10/1/2015,351843.7634,5834,54032300,0.690215,596084,25097.5,8.385327116
10/2/2015,365429.6939,6402,50328700,0.678574,219318,27422.03125,8.767949463
10/3/2015,102282.3266,6053,49981900,0.687171,163326,26913.125,9.765296663
10/4/2015,82192.94105,6101,50556000,0.668379,103497,26453.75,9.791648364
10/5/2015,174473.1638,6619,49131600,0.628643,234263,25480.15625,9.431925786
10/6/2015,106653.5466,6226,45863300,0.650645,262674,26136.875,11.48677351
10/7/2015,308741.0454,6440,47964700,0.609388,218327,25036.5625,9.995299954
10/8/2015,192853.6292,7100,44955900,0.621716,310266,26133.59375,12.18298992
10/9/2015,203924.1274,6912,48334900,0.650628,386420,26778.4375,11.97293337
10/10/2015,140796.9625,6751,47325200,0.627857,141555,25451.40625,11.30921838
10/11/2015,81585.81223,6519,46327500,0.634963,102128,25499.6875,11.38281162
10/12/2015,95725.60781,6011,46864200,0.62603,109567,26507.03125,8.998794599
10/13/2015,164597.9004,6527,46395200,0.607655,303044,26803.75,10.70380732
10/14/2015,215046.7071,6765,45250600,0.522968,971664,26668.28125,12.3232488
10/15/2015,557670.571,6772,38688300,0.561878,371022,25875.625,11.83199852
10/16/2015,428969.4346,6424,41608900,0.536495,249891,25610.46875,18.87034386
10/17/2015,197050.5818,6748,39515900,0.547178,313860,25441.40625,21.17944655
10/18/2015,126250.9736,6508,40550400,0.517734,133690,26450.625,12.29146245
10/19/2015,89057.79538,6442,38321300,0.489014,243742,25848.28125,13.1130126
10/20/2015,223815.8185,6550,36261200,0.434829,383921,25966.71875,11.69921914
10/21/2015,224379.537,5867,31973600,0.447329,609085,26192.5,11.5270198
10/22/2015,395707.7112,6159,32977300,0.567702,924822,26046.40625,10.15585773
10/23/2015,334185.6281,5909,41986400,0.539657,878822,25330.78125,13.20050484
10/24/2015,435622.539,6768,40022100,0.56359,258356,27554.84375,13.74794139
10/25/2015,61520.80289,6234,41781300,0.616039,635384,27118.75,10.69663822
10/26/2015,191473.7698,5677,45991300,0.731317,1089120,26814.21875,9.079512126
10/27/2015,622204.4947,5896,52624300,0.869641,1846370,25912.1875,10.77326712
10/28/2015,1893398.605,6687,64676600,1,2373050,27529.375,18.90289758
10/29/2015,1185980.457,7298,74675600,1.21,2279240,26344.6875,10.89869663
10/30/2015,538471.747,7793,89857400,1.04,2429200,27510.78125,12.55075174
10/31/2015,1108543.472,7842,77800300,0.916627,673892,27720.15625,13.46632166
11/1/2015,293002.9594,7499,68477200,1.06,588913,27751.5625,15.4824256
11/2/2015,144037.9284,6890,78701400,0.989789,1145200,28180.15625,16.17026107
11/3/2015,355409.2285,6522,74010000,1.01,1907690,27134.21875,10.39601397
11/4/2015,535087.6034,7354,75232400,0.89905,3060340,27605.78125,12.24035099
11/5/2015,721237.9194,7004,67070700,0.895637,1179840,27716.40625,9.392856951
11/6/2015,318719.1362,7440,67397100,0.926032,913666,27291.40625,10.59389052
11/7/2015,870604.5246,7828,68833200,0.927974,890187,27422.1875,15.93627016
11/8/2015,438746.0812,10863,68254300,1.03,1021460,26715.3125,32.07991979
11/9/2015,896041.8057,12342,76991800,0.999278,2045290,27289.0625,29.52687888
11/10/2015,884802.0657,7656,74685300,0.934348,854581,27059.53125,11.26310292
11/11/2015,705624.5571,8061,70236200,0.791829,1278580,27444.0625,15.35119263
11/12/2015,269970.8595,10173,59448700,0.895711,806156,27819.0625,23.07679133
11/13/2015,254000.9612,9500,67777000,0.904096,543671,28032.03125,25.8891012
11/14/2015,414310.8439,7830,67631900,0.888812,372514,28185.15625,14.58330246
11/15/2015,257062.1921,7187,66590200,0.906368,411848,28357.65625,18.53403351
11/16/2015,163087.1325,7138,67730700,0.928962,620945,28120.15625,11.48397409
11/17/2015,440357.181,7407,69157900,1.01,1145440,27395.15625,10.26963597
11/18/2015,1149523.827,7115,74287700,0.993319,681104,27793.59375,9.596829651
11/19/2015,190160.877,7330,73976100,0.955532,443528,27252.03125,10.3214754
11/20/2015,253830.9529,8834,71532500,0.92492,614335,26563.4375,15.86393951
11/21/2015,189932.3149,6328,69535300,0.97614,455976,25130.46875,11.98689924
11/22/2015,129805.8606,6780,73378800,0.968018,372173,26782.1875,11.24491006
11/23/2015,242455.0409,7053,72484200,0.946969,441875,26988.59375,11.24171533
11/24/2015,616263.4609,8205,70931100,0.900191,524195,27272.34375,13.31608472
11/25/2015,339922.1722,7107,67010200,0.863537,622991,26848.125,12.96649103
11/26/2015,166536.0718,7074,64740900,0.884183,947473,26471.875,12.45963099
11/27/2015,842504.9432,7262,66174600,0.867951,403813,26538.4375,9.30701048
11/28/2015,621812.7303,6628,65147000,0.915703,462464,27886.875,9.399192619
11/29/2015,106043.3389,6801,68625100,0.878614,448358,27201.09375,14.56713057
11/30/2015,166186.8307,6830,66080400,0.873119,784439,27350.9375,9.090792117
12/1/2015,206120.866,8966,65980000,0.8748,652857,27360,20.81575154
12/2/2015,183251.6723,6753,65615700,0.82121,506307,27542.8125,13.07438894
12/3/2015,239364.146,6471,61530500,0.812143,539969,26007.03125,11.43812253
12/4/2015,185900.1028,6938,61065700,0.840041,241278,28063.28125,10.66607761
12/5/2015,144826.7333,6823,63276000,0.862438,232743,26679.375,12.37234232
12/6/2015,120270.7251,6724,65194900,0.8355,443608,26581.875,13.08482451
12/7/2015,194169.1212,8945,62950900,0.811264,520409,26255.78125,17.14740422
12/8/2015,371338.8842,7090,60690400,0.822118,445903,26718.90625,9.642772252
12/9/2015,140493.7161,6657,62098400,0.792167,624221,26312.5,9.146200894
12/10/2015,205994.9913,6963,59945000,0.840396,369589,28324.0625,10.13698943
12/11/2015,201601.6349,7388,63312400,0.929762,801072,27477.34375,11.34093504
12/12/2015,311820.0684,8051,70210000,0.976973,1376280,27022.8125,16.85244379
12/13/2015,462913.9278,8170,73276400,0.952884,273614,27206.5625,23.12314318
12/14/2015,321201.0589,7334,72176400,0.993022,563436,27907.34375,18.73210971
12/15/2015,311800.1799,15478,74764100,1.01,578618,26708.59375,74.65243956
12/16/2015,530466.3613,21062,76791600,0.991182,320767,27014.53125,114.4078583
12/17/2015,1372177.313,10272,74999300,0.940701,640765,26457.34375,44.21678187
12/18/2015,404352.3362,9507,70890600,0.920127,300787,26883.125,32.40107521
12/19/2015,215493.2409,8920,69644200,0.908072,343535,26671.5625,32.18142145
12/20/2015,205972.3888,9304,68663100,0.903885,472164,26694.53125,28.51623093
12/21/2015,185104.7498,9852,68521200,0.900771,549113,26436.09375,34.42717002
12/22/2015,202398.4821,12003,67704600,0.864202,454249,26457.8125,39.119194
12/23/2015,203914.9338,21004,65215800,0.858077,334993,27374.375,59.16252572
12/24/2015,123824.0395,22711,65060000,0.863262,354646,27399.375,81.42599075
12/25/2015,108429.1225,13480,65275400,0.870363,187114,26686.5625,45.75463786
12/26/2015,58633.37001,9505,65961900,0.854603,425282,26803.59375,26.5940593
12/27/2015,124379.5914,10694,64650000,0.856365,164565,26560.15625,31.29618519
12/28/2015,67089.4964,21856,64913200,0.845005,235134,26853.75,86.63434503
12/29/2015,385840.6106,12325,63985600,0.873054,215742,27057.96875,36.40049069
12/30/2015,261049.7469,11292,66314200,0.911958,604078,26661.09375,33.18921105
12/31/2015,200885.9716,21716,69207400,0.933542,663994,26736.25,76.132284
1/1/2016,369299.9394,10257,70870900,0.948024,206062,26908.28125,25.06732465
1/2/2016,322883.9719,8206,71933100,0.937124,255504,26070.3125,15.65089494
1/3/2016,251956.6133,9140,71275900,0.971905,407632,27383.90625,19.35979081
1/4/2016,353940.2674,9248,73853900,0.95448,346245,27675.78125,19.44831668
1/5/2016,146441.0985,9425,72442400,0.950176,219833,27420.625,21.3104319
1/6/2016,985362.1309,16380,72229700,0.95086,308791,27839.21875,60.3564445
1/7/2016,246680.8563,17007,72692900,0.942005,647462,27625.46875,66.53391845
1/8/2016,345598.0088,22025,71724000,0.986789,545600,27022.1875,65.5065476
1/9/2016,193710.3745,10891,75001800,0.986833,226281,27996.71875,26.04950754
1/10/2016,210614.0853,11692,75031200,0.999231,390888,27595.78125,39.30051752
1/11/2016,149356.0113,10255,76096500,1.06,1011920,27287.96875,26.32605277
1/12/2016,575195.6854,10846,81217300,1.14,2898760,27005.15625,25.51356511
1/13/2016,1119216.923,10824,86530000,1.13,1005910,25900.78125,25.63072227
1/14/2016,503638.6337,17634,85539300,1.19,751961,26535.3125,60.31260944
1/15/2016,402325.0498,10617,90321700,1.21,3910550,26919.21875,26.77617641
1/16/2016,1153374.959,9827,93099400,1.22,2462630,26797.34375,23.16012422
1/17/2016,759713.3309,10622,93207300,1.33,1171150,26523.125,22.65025706
1/18/2016,530471.611,9707,101699000,1.43,4278930,26599.84375,17.0397022
1/19/2016,3104335.741,12883,108628000,1.37,2446740,26620.15625,30.91880998
1/20/2016,1898308.913,13383,104124000,1.53,2933220,26092.8125,35.57695823
1/21/2016,930336.5124,10549,117111000,1.55,1614960,26542.5,19.01349187
1/22/2016,742527.1317,10636,118244000,1.5,1567240,25919.21875,20.29597583
1/23/2016,1810478.592,13752,115002000,1.97,7370980,26255,31.18132507
1/24/2016,2447846.972,10946,145358000,2.14,9669770,25769.6875,17.43280341
1/25/2016,4801648.834,12715,164313000,2.5,10739300,27239.21875,23.73088258
1/26/2016,4878028.279,17048,193838000,2.28,13939200,25700.78125,40.19124286
1/27/2016,3453823.922,16451,172061000,2.39,6961080,26985.46875,37.89805755
1/28/2016,3077775.185,18660,184294000,2.53,4903850,26104.53125,56.86014672
1/29/2016,2295583.742,16692,194815000,2.49,6662340,26560.9375,41.35601104
1/30/2016,2115529.355,16323,192176000,2.45,3725080,26164.21875,37.41034343
1/31/2016,2286923.794,14594,187289000,2.31,5847500,26193.125,35.42928217
2/1/2016,2420235.932,14092,177881000,2.21,3994100,25681.875,33.88376937
2/2/2016,1463886.236,14122,169923000,2.44,3451270,26431.25,32.53922742
2/3/2016,1566748.181,14242,186609000,2.53,3987750,25864.6875,29.46292784
